drug_name,uses,side_effects,warnings
Alprabarbital,High cholesterol,"Fatigue, Dizziness, Blurred vision",Hypersensitivity reactions possible
Alpracaine,Anticoagulation,"Headache, Nausea","Hypersensitivity reactions possible, Risk of bleeding with anticoagulants"
Alpracillin,"Asthma, Epilepsy","Constipation, Insomnia","May interact with alcohol, Monitor blood glucose levels"
Alprafen,Pain relief,"Palpitations, Nausea",Caution in liver impairment
Alpragliflozin,"Acne, Allergic rhinitis","Palpitations, Blurred vision, Fatigue","Monitor blood glucose levels, Use lowest effective dose"
Alpragliptin,"Heart failure, Arthritis inflammation","Abdominal pain, Blurred vision, Rash, Tremor",Check for drug–drug interactions
Alpramycin,Epilepsy,"Blurred vision, Diarrhea, Rash, Muscle pain","Monitor blood glucose levels, Use lowest effective dose"
Alpraolol,Immunosuppression,"Photosensitivity, Weight gain, Constipation, Muscle pain","Monitor blood glucose levels, Hypersensitivity reactions possible"
Alprasartan,Immunosuppression,"Nausea, Photosensitivity, Vomiting, Tremor","Hypersensitivity reactions possible, Risk of bleeding with anticoagulants"
Amlodibarbital,"COPD, Arthritis inflammation","Abdominal pain, Fatigue, Dry mouth, Nausea","Monitor blood pressure, Not for pediatric use without advice"
Amlodicaine,"Dermatitis, Anxiety disorders","Tremor, Abdominal pain, Insomnia","Avoid overdose, Hypersensitivity reactions possible"
Amlodidazole,"Heart failure, Fever reduction","Dry mouth, Drowsiness","Avoid overdose, Caution in liver impairment"
Amlodiformin,Acne,"Insomnia, Vomiting, Dizziness","Caution in liver impairment, Monitor blood glucose levels"
Amlodimab,"Gastric ulcer, Anticoagulation","Dry mouth, Blurred vision, Dizziness, Palpitations",Caution in renal impairment
Amlodimycin,"Dermatitis, Arthritis inflammation","Headache, Constipation",Monitor blood glucose levels
Amlodinib,"Allergic rhinitis, Migraine","Tremor, Dizziness, Palpitations, Photosensitivity","Avoid overdose, Avoid in pregnancy unless prescribed"
Amlodistatin,GERD,"Diarrhea, Headache, Fatigue, Tremor",Not for pediatric use without advice
Amlodizepam,Viral infections,"Weight gain, Constipation, Headache, Fatigue",Monitor blood glucose levels
Amoxiazole,Allergic rhinitis,"Dizziness, Tremor","May interact with alcohol, Monitor blood pressure"
Amoxibarbital,"Immunosuppression, Stroke prevention","Vomiting, Drowsiness",Check for drug–drug interactions
Amoxicaine,"Thyroid disorders, Bacterial infections","Blurred vision, Tremor, Rash",Avoid in pregnancy unless prescribed
Amoxifen,"Allergic rhinitis, Chemotherapy support","Vomiting, Insomnia","Caution in renal impairment, Monitor blood glucose levels"
Amoxigliptin,Anxiety disorders,"Photosensitivity, Constipation, Dizziness",Not for pediatric use without advice
Amoximycin,Type 2 diabetes,"Dizziness, Photosensitivity, Tremor",Monitor blood pressure
Amoxipine,"Bacterial infections, GERD","Blurred vision, Diarrhea, Insomnia",Hypersensitivity reactions possible
Amoxisartan,"Hypertension, High cholesterol","Palpitations, Rash, Nausea, Abdominal pain",Caution in liver impairment
Amoxixetine,"Anticoagulation, Viral infections","Fatigue, Drowsiness",Hypersensitivity reactions possible
Atorvaazole,Stroke prevention,"Weight gain, Photosensitivity, Nausea","Risk of bleeding with anticoagulants, May cause drowsiness; avoid driving"
Atorvabarbital,Arthritis inflammation,"Abdominal pain, Headache, Dry mouth, Photosensitivity","Avoid overdose, Monitor blood glucose levels"
Atorvacillin,"Type 2 diabetes, Depression","Rash, Vomiting, Palpitations","Monitor blood glucose levels, Risk of bleeding with anticoagulants"
Atorvamycin,High cholesterol,"Diarrhea, Dizziness, Rash",Check for drug–drug interactions
Atorvasartan,"Bacterial infections, Hypertension","Vomiting, Insomnia, Weight gain, Palpitations",Use lowest effective dose
Atorvavir,"Dermatitis, Migraine","Headache, Vomiting",Hypersensitivity reactions possible
Atorvazepam,"Gastric ulcer, Bacterial infections","Dizziness, Insomnia, Blurred vision",May cause drowsiness; avoid driving
Azicaine,"Chemotherapy support, Allergic rhinitis","Blurred vision, Diarrhea, Tremor, Nausea",Avoid in pregnancy unless prescribed
Azicillin,"Fever reduction, Acne","Drowsiness, Nausea, Weight gain",Not for pediatric use without advice
Azidazole,"Immunosuppression, Type 2 diabetes","Constipation, Dizziness",Hypersensitivity reactions possible
Aziformin,Allergic rhinitis,"Drowsiness, Constipation, Fatigue, Blurred vision",Avoid in pregnancy unless prescribed
Azigliflozin,"Migraine, Dermatitis","Dry mouth, Diarrhea, Palpitations, Rash",Check for drug–drug interactions
Azinib,"Chemotherapy support, Stroke prevention","Weight gain, Abdominal pain",May cause drowsiness; avoid driving
Azipine,"Gastric ulcer, Type 2 diabetes","Weight gain, Vomiting",Risk of bleeding with anticoagulants
Azipril,GERD,"Rash, Tremor, Vomiting","Avoid in pregnancy unless prescribed, Hypersensitivity reactions possible"
Azizepam,Thyroid disorders,"Headache, Muscle pain, Fatigue",Monitor blood pressure
Cefbarbital,Thyroid disorders,"Insomnia, Muscle pain, Palpitations, Abdominal pain","Not for pediatric use without advice, Hypersensitivity reactions possible"
Cefcaine,Immunosuppression,"Drowsiness, Photosensitivity, Insomnia, Muscle pain",May interact with alcohol
Ceffen,"Gastric ulcer, Fungal infections","Weight gain, Abdominal pain, Fatigue",Hypersensitivity reactions possible
Cefgliflozin,"Chemotherapy support, GERD","Fatigue, Muscle pain, Abdominal pain",Caution in liver impairment
Cefgliptin,"GERD, Heart failure","Dry mouth, Rash","Caution in renal impairment, Monitor blood pressure"
Cefpine,"Bacterial infections, Anxiety disorders","Abdominal pain, Muscle pain, Diarrhea, Fatigue","Monitor blood pressure, Check for drug–drug interactions"
Cefstatin,Depression,"Diarrhea, Vomiting, Insomnia, Muscle pain",Avoid in pregnancy unless prescribed
Cetibarbital,"Chronic kidney disease, Type 2 diabetes","Fatigue, Palpitations",Not for pediatric use without advice
Ceticaine,Pain relief,"Rash, Palpitations, Nausea","Avoid in pregnancy unless prescribed, Hypersensitivity reactions possible"
Cetidazole,"Immunosuppression, GERD","Drowsiness, Palpitations, Vomiting, Abdominal pain",Avoid in pregnancy unless prescribed
Cetifen,Type 2 diabetes,"Tremor, Dizziness",Check for drug–drug interactions
Cetiformin,"Migraine, Anticoagulation","Blurred vision, Weight gain",Monitor blood glucose levels
Cetigliflozin,"Migraine, Anxiety disorders","Dizziness, Vomiting, Insomnia",May interact with alcohol
Cetigliptin,"Pain relief, Immunosuppression","Muscle pain, Insomnia, Blurred vision, Constipation","Monitor blood glucose levels, Avoid in pregnancy unless prescribed"
Cetimycin,"Anxiety disorders, Fever reduction","Fatigue, Constipation","Caution in liver impairment, Avoid in pregnancy unless prescribed"
Cetisartan,Bacterial infections,"Photosensitivity, Abdominal pain, Constipation, Palpitations","Monitor blood glucose levels, May interact with alcohol"
Cetistatin,"COPD, Heart failure","Photosensitivity, Vomiting","May cause drowsiness; avoid driving, Caution in liver impairment"
Cetixetine,Viral infections,"Tremor, Fatigue, Drowsiness, Constipation","Monitor blood glucose levels, Check for drug–drug interactions"
Ciprobarbital,"COPD, Gastric ulcer","Blurred vision, Dizziness","Monitor blood pressure, Caution in liver impairment"
Ciprocaine,"Immunosuppression, Anxiety disorders","Diarrhea, Constipation, Insomnia, Dizziness","Avoid in pregnancy unless prescribed, Check for drug–drug interactions"
Ciprogliflozin,Stroke prevention,"Dizziness, Abdominal pain","May cause drowsiness; avoid driving, Avoid in pregnancy unless prescribed"
Ciprogliptin,COPD,"Weight gain, Diarrhea, Rash, Fatigue","Check for drug–drug interactions, Monitor blood pressure"
Cipromab,"Allergic rhinitis, Fungal infections","Vomiting, Drowsiness",Hypersensitivity reactions possible
Cipromycin,"GERD, Allergic rhinitis","Tremor, Photosensitivity, Weight gain, Palpitations","Caution in renal impairment, Caution in liver impairment"
Cipropril,"Type 2 diabetes, Acne","Nausea, Tremor, Blurred vision, Diarrhea","Monitor blood glucose levels, Not for pediatric use without advice"
Ciprovir,Dermatitis,"Weight gain, Dry mouth",Avoid overdose
Clariazole,COPD,"Vomiting, Dizziness, Diarrhea, Nausea","Not for pediatric use without advice, Risk of bleeding with anticoagulants"
Claricaine,"Hypertension, Gastric ulcer","Dry mouth, Insomnia, Blurred vision, Weight gain",Caution in renal impairment
Claricillin,Arthritis inflammation,"Insomnia, Muscle pain, Palpitations, Fatigue","May interact with alcohol, May cause drowsiness; avoid driving"
Claridazole,"Arthritis inflammation, Migraine","Abdominal pain, Rash, Tremor, Dizziness","May interact with alcohol, Check for drug–drug interactions"
Clarifen,Hypertension,"Headache, Weight gain, Nausea, Abdominal pain","Not for pediatric use without advice, Use lowest effective dose"
Clariformin,"Heart failure, Chronic kidney disease","Constipation, Dry mouth, Vomiting, Palpitations",Caution in renal impairment
Clarinib,Allergic rhinitis,"Muscle pain, Photosensitivity","Check for drug–drug interactions, Caution in renal impairment"
Claripril,"Gastric ulcer, Acne","Tremor, Dizziness, Nausea, Fatigue","Caution in liver impairment, Monitor blood pressure"
Clarisartan,"Hypertension, Gastric ulcer","Abdominal pain, Nausea, Photosensitivity, Rash",Monitor blood glucose levels
Clarizepam,"Epilepsy, Anticoagulation","Constipation, Diarrhea",Monitor blood pressure
Diazeazole,"Fever reduction, Pain relief","Diarrhea, Rash, Dry mouth",May interact with alcohol
Diazecaine,"Epilepsy, Depression","Rash, Blurred vision, Drowsiness",Use lowest effective dose
